perk_id,description,eligibility_criteria,benefits,assignments
free_hotel_night,One free hotel night for every 10 nights booked,"Users in the ""Frequent Travelers"" segment",Encourages repeat bookings and rewards loyal customers,['family_oriented_mature_couples']
priority_boarding,Priority boarding for flights,"Users in the ""Frequent Travelers"", ""Business Travelers"", and ""High Spenders"" segments","Enhances the travel experience for frequent and high-value customers, making them feel valued and appreciated",['independent_frequent_travelers']
free_breakfast,Free breakfast at partner hotels,"Users in the ""Business Travelers"" and ""High Spenders"" segments","Adds value to hotel bookings for business travelers and high spenders, improving customer satisfaction and loyalty","['senior_premium_hotel_only_couples', 'young_premium_hotel_only_travelers']"
free_checked_bag,One free checked bag for flights,"Users in the ""Frequent Travelers"" segment","Provides a tangible benefit for frequent travelers, encouraging them to continue booking with the platform","['family_vacationers', 'leisure_travelers']"
no_cancellation_fee,No cancellation fee for bookings,"Users in the ""Business Travelers"" segment","Offers flexibility for business travelers who may have changing plans, increasing their likelihood of booking through the platform","['inactive_senior_couples', 'last_minute_bookers']"
free_seat_selection,Free seat selection for flights,"Users in the ""High Spenders"" segment","Provides an added perk for high-value customers, enhancing their booking experience and encouraging loyalty",['married_couples']
more_miles_earned,Earn 2x miles on all bookings,"Users in the ""Frequent Travelers"" segment","Incentivizes frequent travelers to book more through the platform, as they can earn more rewards for their loyalty",['frequent_travelers']
discount_flight,10% discount on flight bookings,"Users in the ""Frequent Travelers"" segment","Provides a financial incentive for frequent travelers to choose the platform for their flight bookings, increasing customer retention and satisfaction","['inactive_young_parents', 'price_sensitive_travelers', 'inactive_young_non_travelers']"
discount_hotel,10% discount on hotel bookings,"Users in the ""Business Travelers"" segment","Offers a cost-saving benefit for business travelers, encouraging them to book more hotels through the platform and increasing customer loyalty","['independent_bundle_oriented_travelers', 'flight_only_users']"
free_lounge_access,Free airport lounge access,"Users in the ""Business Travelers"" segment",Enhances the travel experience for business travelers and adds value to their bookings,"['business_travelers', 'high_value_customers']"
priority_support,Priority customer support,"Users in the ""High Spenders"" segment","Provides personalized assistance to high-value customers, improving satisfaction and retention",['silver_adventurers']
